Linie;KM;Abkuerzung Bahnhof;Haltestellen Name;Perrontyp;Perron Nummer;Kundengleisnummer;Perronkantenlänge;Perronkantenhöhe;Bemerkung Höhe;Hilfstritt;Höhenverlauf;Material;Bemerkung Material;Kantenart;Bemerkung Kantenkrone;Auftritt;GO_IPID;Didok-Nummer;IPID;FID;1_koord;2_koord;BPUIC;lod
710;7.422;SCHL;Schlieren;Mittelperron;5/6;;393.1;P 25;;nicht vorhanden;auslaufend;Mauerwerk;;Naturstein;;Kein;3240044;3509;564417;35340006;47.3995270281, 8.44832553353;47.399152210978, 8.443147549080836;8503509;http://lod.opentransportdata.swiss/didok/8503509
710;7.422;SCHL;Schlieren;Mittelperron;5/6;;392.28;P 25;;nicht vorhanden;auslaufend;Mauerwerk;;Naturstein;;Kein;3240044;3509;3130085;35316815;47.3995657581, 8.44831136363;47.39919826569548, 8.443144363534964;8503509;http://lod.opentransportdata.swiss/didok/8503509
250;77.706;SCMI;Schmitten FR;Mittelperron;2/3;2;215.11;P 30;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;1363032;4102;1363025;35362633;46.8635753816, 7.25212738547;46.862548368294476, 7.254518295232012;8504102;http://lod.opentransportdata.swiss/didok/8504102
850;130.508;SCHK;Schottikon;Hausperron;1;1;81.08;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;3481446;6035;3481442;35374369;47.5001547854, 8.81167497064;47.50014804401405, 8.810600209707998;8506035;http://lod.opentransportdata.swiss/didok/8506035
850;106.58;SCHZ;Schwarzenbach SG;Mittelperron;3/4;;314.27;P 35;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;Schlechter Zustand;Kein;1159063;6207;1159067;35347340;47.4457987176, 9.07012407498;47.44534499668085, 9.066087019948823;8506207;http://lod.opentransportdata.swiss/didok/8506207
600;17.321;SCHW;Schwyz;Mittelperron;2/3;3;414.68;P 55;;nicht vorhanden;;Fertigelement;;Beton;;Kein;974486;5006;14456642;295618623;47.0235814712, 8.63222849538;47.027218428780046, 8.631453235674392;8505006;http://lod.opentransportdata.swiss/didok/8505006
761;21.521;SCHO;Schofflisdorf-Oberweningen;Hausperron;1;1;320.48;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1172636;3317;4684078;166203002;47.4974826327, 8.41343313363;47.49851311563834, 8.409461044514865;8503317;http://lod.opentransportdata.swiss/didok/8503317
540;47.98;SCOE;Schonenwerd SO;Aussenperron;2;2;222.33;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;974413;2112;17774219;299161297;47.3701717563, 7.99943557977;47.372080830287324, 8.000311737737352;8502112;http://lod.opentransportdata.swiss/didok/8502112
540;48.036;SCOE;Schonenwerd SO;Hausperron;1;1;179.26;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;974414;2112;17774225;299161284;47.3706293891, 7.99975405718;47.37216948691315, 8.000456553556887;8502112;http://lod.opentransportdata.swiss/didok/8502112
540;48.0;SCOE;Schonenwerd SO;Hausperron;1;1;36.02;P 55;;nicht vorhanden;konstant;Andere;System Stahlbau;Andere;Stahl;Gitterrost;974414;2112;18776279;299161282;47.3703201011, 7.99961199774;47.37062938907145, 7.999754057180661;8502112;http://lod.opentransportdata.swiss/didok/8502112
720;46.397;SCBU;Schubelbach-Buttikon;Mittelperron;1/2;1;317.1;P 42;inkl. 20 cm Hilfstritt;vorhanden;konstant;Fertigelement;;Beton;;Andere;1271773;3222;1271755;35313147;47.1763325803, 8.93649181528;47.176715375395126, 8.940637009306595;8503222;http://lod.opentransportdata.swiss/didok/8503222
260;15.58;SCUE;Schupfen;Zwischenperron;1/2;2;216.21;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1841284;4412;4737391;135195260;47.0415359874, 7.38738636506;47.042006090765284, 7.384625760053286;8504412;http://lod.opentransportdata.swiss/didok/8504412
260;15.797;SCUE;Schupfen;Aussenperron;3;3;40.03;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1841288;4412;4737392;135195334;47.0419392496, 7.38458995882;47.04185200792849, 7.385100948385065;8504412;http://lod.opentransportdata.swiss/didok/8504412
410;80.605;SEL;Selzach;Aussenperron;2;2;150.37;P 42;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;848403;204;848462;35369873;47.2007641549, 7.4577739235;47.20037810872985, 7.455872019831141;8500204;http://lod.opentransportdata.swiss/didok/8500204
500;78.907;SEM;Sempach-Neuenkirch;Aussenperron;2;2;152.97;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1463702;2009;1463700;35356562;47.1160341089, 8.19485363834;47.11588757448187, 8.196857809587057;8502009;http://lod.opentransportdata.swiss/didok/8502009
651;36.833;SE;Seon;Zwischenperron;1/2;2;98.55;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;2575653;2030;2575649;35349233;47.3459259307, 8.15863023325;47.34680760647774, 8.158760722704892;8502030;http://lod.opentransportdata.swiss/didok/8502030
100;108.314;SIE;Sierre/Siders;Hausperron;1;1;400.09;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;544149;1509;11948574;245930081;46.2928877843, 7.53490756985;46.29110064209425, 7.530404263147865;8501509;http://lod.opentransportdata.swiss/didok/8501509
100;107.922;SIE;Sierre/Siders;Mittelperron;2/3;2;417.24;P 55;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Andere;12228015;1509;639874;35313597;46.2910752628, 7.5305419025;46.292933072004736, 7.53524406630406;8501509;http://lod.opentransportdata.swiss/didok/8501509
100;108.345;SIE;Sierre/Siders;Mittelperron;2/3;3;419.98;P 55;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Andere;12228015;1509;639883;35324275;46.2929114818, 7.5353405775;46.291053053459954, 7.530596691452537;8501509;http://lod.opentransportdata.swiss/didok/8501509
100;107.907;SIE;Sierre/Siders;Mittelperron;2/3;3;17.1;P 20;;nicht vorhanden;auslaufend;Ortsbeton;;Naturstein;;Kein;12228015;1509;17318439;272349214;46.290964438, 7.53041718078;46.291053053459954, 7.530596691452537;8501509;http://lod.opentransportdata.swiss/didok/8501509
660;19.982;SBG;Sihlbrugg;Hausperron;1;;18.77;<=P20;15 cm;nicht vorhanden;nicht konstant;Ortsbeton;;Naturstein;;Kein;3825258;2207;3825256;35355541;47.2378680922, 8.57667696656;47.23772293049326, 8.576550433079674;8502207;http://lod.opentransportdata.swiss/didok/8502207
850;113.803;SIR;Sirnach;Hausperron;1;1;80.08;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;1173462;6010;3481424;35358375;47.4620349799, 9.00086168677;47.46180417748235, 8.999856114821315;8506010;http://lod.opentransportdata.swiss/didok/8506010
500;20.93;SIS;Sissach;Hausperron;1;1;319.8;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;4181455;26;4321785;35341875;47.4632670752, 7.8098359177;47.462257912202446, 7.813807165400028;8500026;http://lod.opentransportdata.swiss/didok/8500026
415;80.38;SO;Solothurn;Mittelperron;2/3;3;19.6;P 25;;nicht vorhanden;auslaufend;Fertigelement;;Beton;;Kein;1824299;207;15139711;235907654;47.2038037871, 7.54163121421;47.20377519414864, 7.54137601096179;8500207;http://lod.opentransportdata.swiss/didok/8500207
415;80.38;SO;Solothurn;Mittelperron;2/3;2;19.47;P 25;;nicht vorhanden;auslaufend;Fertigelement;;Beton;;Kein;1824299;207;15139723;235907666;47.2038615843, 7.54161398206;47.20382707887491, 7.541362080046534;8500207;http://lod.opentransportdata.swiss/didok/8500207
410;74.707;SW;Solothurn West;Hausperron;1;1;149.5;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;974348;206;426233;35322180;47.2062592985, 7.53257255914;47.20718575577516, 7.531142492170918;8500206;http://lod.opentransportdata.swiss/didok/8500206
210;79.431;SBL;St-Blaise CFF;Aussenperron;2;2;38.43;P 20;;nicht vorhanden;nicht konstant;Mauerwerk;;Naturstein;;Kein;4241383;4222;4241379;35314982;47.0148447962, 6.98285716862;47.014941493029276, 6.983342389793153;8504222;http://lod.opentransportdata.swiss/didok/8504222
225;62.349;STI;St-Imier;Aussenperron;3;3;149.99;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;3429328;4310;3429314;35327518;47.1516519824, 7.00169764198;47.151243655973786, 6.999812757707856;8504310;http://lod.opentransportdata.swiss/didok/8504310
100;98.287;SL;St-Leonard;Hausperron;1;1;66.42;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;2775307;1507;2775305;35370231;46.2519930816, 7.42113590697;46.252258062458154, 7.421907684689645;8501507;http://lod.opentransportdata.swiss/didok/8501507
100;51.363;SM;St-Maurice;Hausperron;1;1;420.71;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;4730459;1403;11618897;137517930;46.2181647998, 7.002199608;46.214395158115245, 7.002098024624473;8501403;http://lod.opentransportdata.swiss/didok/8501403
100;14.485;STSA;St-Saphorin;Hausperron;1;1;123.99;P 20;;nicht vorhanden;konstant;Fertigelement;;Andere;Elem. prefab. - Beton;Kein;1645258;1127;1645249;35361433;46.4726609504, 6.79619192122;46.47237198628373, 6.797750739544518;8501127;http://lod.opentransportdata.swiss/didok/8501127
100;14.609;STSA;St-Saphorin;Hausperron;1;1;7.89;P 20;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;1645258;1127;4697913;35337070;46.4723719863, 6.79775073954;46.472356895616784, 6.797850147305385;8501127;http://lod.opentransportdata.swiss/didok/8501127
100;43.527;ST;St-Triphon;Aussenperron;;;200.5;P 25;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;granit;Kein;679308;1401;1693257;35312104;46.2794117623, 6.97155239377;46.27768249826001, 6.972290367551557;8501401;http://lod.opentransportdata.swiss/didok/8501401
850;80.695;SG;St. Gallen;Hausperron;1;;37.09;P 25;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;1352555;6302;4713950;35360157;47.4216812644, 9.36760573819;47.4214372958055, 9.36727055571098;8506302;http://lod.opentransportdata.swiss/didok/8506302
850;80.726;SG;St. Gallen;Mittelperron;2/3;2;408.03;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1352564;6302;1352560;35362665;47.4215615052, 9.36718488719;47.42435264508084, 9.370695703532713;8506302;http://lod.opentransportdata.swiss/didok/8506302
850;80.686;SG;St. Gallen;Mittelperron;2/3;3;26.21;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1352564;6302;3838096;35357887;47.4218758752, 9.36745425836;47.42169115450655, 9.367238500147392;8506302;http://lod.opentransportdata.swiss/didok/8506302
880;78.156;SGF;St. Gallen St. Fiden;Hausperron;1;;50.25;P 30;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Kein;1320448;6303;1306108;35362111;47.4341496131, 9.39183065944;47.434014447626254, 9.391195172169379;8506303;http://lod.opentransportdata.swiss/didok/8506303
880;78.334;SGF;St. Gallen St. Fiden;Mittelperron;3/4;;49.9;P 30;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Kein;1320457;6303;1320450;35353585;47.4341168259, 9.39112682356;47.43424857454397, 9.391759017445462;8506303;http://lod.opentransportdata.swiss/didok/8506303
880;78.112;SGF;St. Gallen St. Fiden;Mittelperron;3/4;3;172.96;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1320457;6303;17799584;297455048;47.4348747594, 9.39385661995;47.43424857454397, 9.391759017445462;8506303;http://lod.opentransportdata.swiss/didok/8506303
880;78.112;SGF;St. Gallen St. Fiden;Mittelperron;3/4;4;172.51;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1320457;6303;17799956;297455055;47.4349220353, 9.39382592378;47.434309272557144, 9.391725166030449;8506303;http://lod.opentransportdata.swiss/didok/8506303
850;86.481;SGWI;St. Gallen Winkeln;Hausperron;1;1;54.98;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;2169202;6300;2169195;35371073;47.4042308163, 9.29963157735;47.40407596596117, 9.300321702898637;8506300;http://lod.opentransportdata.swiss/didok/8506300
850;86.263;SGWI;St. Gallen Winkeln;Hausperron;1;1;16.92;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;2169202;6300;2169199;35354443;47.4036195391, 9.3023737753;47.40366566747461, 9.302161709040702;8506300;http://lod.opentransportdata.swiss/didok/8506300
880;53.959;SMG;St. Margrethen SG;Hausperron;1;;13.68;<=P20;;nicht vorhanden;auslaufend;Ortsbeton;;Beton;;Kein;3825587;6314;17350467;273022041;47.4536274511, 9.63651607975;47.45366369495297, 9.636345113508135;8506314;http://lod.opentransportdata.swiss/didok/8506314
880;53.54;SMG;St. Margrethen SG;Mittelperron;2/3;3;33.05;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;3825588;6314;16815585;261850101;47.4526940765, 9.64190506266;47.45259876319271, 9.642320162062193;8506314;http://lod.opentransportdata.swiss/didok/8506314
821;26.868;STM;Stammheim;Aussenperron;2;2;170.21;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;11990086;6024;11990071;214138175;47.6347620392, 8.78851998474;47.636281954775, 8.788250321784211;8506024;http://lod.opentransportdata.swiss/didok/8506024
822;34.876;STR;Stein am Rhein;Zwischenperron;1/2;2;35.03;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;2817535;6139;12158019;206607916;47.6559271581, 8.85505818333;47.65572404202161, 8.855414562316291;8506139;http://lod.opentransportdata.swiss/didok/8506139
700;58.628;STS;Stein-Sackingen;Mittelperron;2/3;2;320.58;P 55;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Beton;1570748;320;4149292;35350325;47.5410076626, 7.95040249078;47.54221109987915, 7.946534671659839;8500320;http://lod.opentransportdata.swiss/didok/8500320
711;34.659;STE;Steinhausen;Mittelperron;2/3;2;318.34;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;906522;2227;906520;35338145;47.1952152625, 8.47805649838;47.19241604461572, 8.478940751376092;8502227;http://lod.opentransportdata.swiss/didok/8502227
761;18.672;STMR;Steinmaur;Hausperron;1;1;28.71;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;1453942;3316;12532077;170731675;47.4899797215, 8.44841656951;47.49003614704772, 8.448045020424649;8503316;http://lod.opentransportdata.swiss/didok/8503316
761;18.723;STMR;Steinmaur;Hausperron;1;1;172.83;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;1453942;3316;12532401;170731999;47.4900630324, 8.44775608923;47.48980704340853, 8.445515427703896;8503316;http://lod.opentransportdata.swiss/didok/8503316
260;28.155;STU;Studen BE;Aussenperron;2;2;220.27;P 55;;nicht vorhanden;konstant;Fertigelement;Druckpfahle;Beton;;Gitterrost;12414477;4441;4737389;160271897;47.1107116697, 7.30150528368;47.112454490194466, 7.30012493685117;8504441;http://lod.opentransportdata.swiss/didok/8504441
730;26.4;STAE;Stafa;Mittelperron;3/4;3;318.87;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;1720185;3107;3803947;35353005;47.2407852579, 8.72055657819;47.23999342165522, 8.724584157962463;8503107;http://lod.opentransportdata.swiss/didok/8503107
840;66.072;SLG;Sulgen;Hausperron;1;1;122.4;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;17828547;6217;20044623;326513490;47.5388480209, 9.1832259082;47.5384889554322, 9.184762579635048;8506217;http://lod.opentransportdata.swiss/didok/8506217
754;44.397;TD;Tann-Durnten;Hausperron;1;1;169.98;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;12100037;3139;12100035;248470294;47.2679871653, 8.85423459595;47.26850145484739, 8.852119426316166;8503139;http://lod.opentransportdata.swiss/didok/8503139
500;28.068;TK;Tecknau;Mittelperron;3/4;4;220.22;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;957963;28;415754;35351465;47.4463207025, 7.88675795849;47.44465595870698, 7.888339775439806;8500028;http://lod.opentransportdata.swiss/didok/8500028
850;122.872;AD;Aadorf;Mittelperron;1/2;1;221.15;P 55;;nicht vorhanden;konstant;Andere;;Beton;;Gitterrost;1173383;6013;16751633;267409740;47.4879313533, 8.90356383123;47.488863335986466, 8.90097145852976;8506013;http://lod.opentransportdata.swiss/didok/8506013
650;41.369;AA;Aarau;Hausperron;1/0;0;173.78;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;974418;2113;698444;35354549;47.3917874559, 8.05295000084;47.392315170132626, 8.055115184447843;8502113;http://lod.opentransportdata.swiss/didok/8502113
650;41.197;AA;Aarau;Hausperron;1/0;1;486.09;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;974418;2113;1530211;35355814;47.3922909581, 8.05512846779;47.39071489270743, 8.04912331411719;8502113;http://lod.opentransportdata.swiss/didok/8502113
650;41.28;AA;Aarau;Mittelperron;4/5;5;428.86;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;974420;2113;1530204;35347603;47.3918165437, 8.05421345703;47.390373366464345, 8.048948876060221;8502113;http://lod.opentransportdata.swiss/didok/8502113
500;42.845;ABO;Aarburg-Oftringen;Mittelperron;2/3;3;222.41;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;957965;2000;15812429;323550057;47.3214700587, 7.90700031596;47.31995446475947, 7.908920242087591;8502000;http://lod.opentransportdata.swiss/didok/8502000
230;113.125;AE;Aesch BL;Aussenperron;3;3;49.22;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;2149964;117;3456914;35336828;47.4688092344, 7.60363625468;47.469232545780606, 7.603826814184661;8500117;http://lod.opentransportdata.swiss/didok/8500117
230;112.951;AE;Aesch BL;Hausperron;2;2;220.26;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;3456913;117;3456911;35329070;47.4672911993, 7.60311469772;47.469226150738805, 7.603713014360503;8500117;http://lod.opentransportdata.swiss/didok/8500117
100;39.446;AIG;Aigle;Hausperron;1;1;30.89;P 25;;nicht vorhanden;auslaufend;Fertigelement;;Beton;;Kein;1672355;1400;17400354;273701029;46.3157019724, 6.96418459574;46.315443347785305, 6.964326954880969;8501400;http://lod.opentransportdata.swiss/didok/8501400
850;103.33;ALG;Algetshausen-Henau;Aussenperron;2;;202.49;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;1158688;6220;1140733;35361252;47.4491681227, 9.10903125143;47.4479639866571, 9.111040425613735;8506220;http://lod.opentransportdata.swiss/didok/8506220
150;21.688;ALL;Allaman;Mittelperron;2/3;3;100.44;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;310580;1035;10492379;227445761;46.4750256067, 6.39719997916;46.47527753877595, 6.398455922395367;8501035;http://lod.opentransportdata.swiss/didok/8501035
600;35.001;AL;Altdorf UR;Mittelperron;4/5;4;421.69;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;3247023;5113;13996883;278219227;46.8778873737, 8.63059335545;46.87417795037381, 8.631747907436035;8505113;http://lod.opentransportdata.swiss/didok/8505113
600;35.001;AL;Altdorf UR;Hausperron;1;1;420.93;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;4776515;5113;4776517;35373187;46.8779151563, 8.63081595731;46.874212225883944, 8.631966204413859;8505113;http://lod.opentransportdata.swiss/didok/8505113
824;92.763;ALN;Altnau;Aussenperron;2;2;120.39;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;2774803;6125;2774802;35313771;47.6207266256, 9.26777573219;47.621313387099946, 9.26642978832363;8506125;http://lod.opentransportdata.swiss/didok/8506125
824;92.908;ALN;Altnau;Hausperron;1;1;120.22;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;2774806;6125;2774805;35313792;47.6213735146, 9.26609811174;47.62195931050998, 9.264753936516353;8506125;http://lod.opentransportdata.swiss/didok/8506125
600;46.443;AS;Amsteg-Silenen;Mittelperron;3/4;;219.65;P 30;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Naturstein;;Kein;974499;5115;227708;35329962;46.7818928851, 8.67172723683;46.78009140961257, 8.672908642901746;8505115;http://lod.opentransportdata.swiss/didok/8505115
825;90.252;ARB;Arbon;Hausperron;1;1;110.23;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;1799636;6308;1799632;35353633;47.5109618531, 9.43322913602;47.509970809883484, 9.4332676235733;8506308;http://lod.opentransportdata.swiss/didok/8506308
200;27.488;AX;Arnex;Hausperron;1;1;150.05;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;10888971;1107;10886462;96528697;46.6976230023, 6.51815412384;46.69857007123531, 6.519551907331872;8501107;http://lod.opentransportdata.swiss/didok/8501107
880;50.908;AUSG;Au SG;Hausperron;1;1;170.21;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1352229;6316;4464820;55417850;47.4348502761, 9.64120688018;47.43635817476908, 9.64159600045001;8506316;http://lod.opentransportdata.swiss/didok/8506316
219;5.097;AUV;Auvernier;Mittelperron;2/3;3;196.79;P 25;;nicht vorhanden;konstant;Mauerwerk;;Naturstein;;Kein;2177742;4219;2177737;35355969;46.9796254224, 6.8761657653;46.97982876270209, 6.878723049703841;8504219;http://lod.opentransportdata.swiss/didok/8504219
210;70.258;AUV;Auvernier;Hausperron;1;1;180.32;P 25;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Kein;2177746;4219;2177744;35364230;46.9795954469, 6.87658415968;46.97973851164334, 6.878941596349694;8504219;http://lod.opentransportdata.swiss/didok/8504219
660;26.777;BAA;Baar;Mittelperron;2/3;2;213.93;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;974457;2206;761076;35359390;47.1947357502, 8.5212351673;47.195716397357714, 8.523663496021364;8502206;http://lod.opentransportdata.swiss/didok/8502206
660;27.638;BAAN;Baar Neufeld;Aussenperron;2;2;150.0;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;2161509;15992;2161504;35352359;47.1878043917, 8.51754884957;47.18914793562696, 8.517730036722245;8515992;http://lod.opentransportdata.swiss/didok/8515992
710;22.657;BD;Baden;Mittelperron;2/3;3;14.12;<=P20;;nicht vorhanden;auslaufend;Fertigelement;;Beton;;Kein;2181743;3504;15140229;235908174;47.4775947944, 8.30770472479;47.477720228830364, 8.307733878157869;8503504;http://lod.opentransportdata.swiss/didok/8503504
230;121.004;BSDH;Basel Dreispitz;Aussenperron;2;2;219.91;P 55;;nicht vorhanden;konstant;Fertigelement;32 Stk. spez. Perronelemente;Beton;;Gitterrost;3589027;136;3589025;35361477;47.5367122169, 7.61059015799;47.53815380995461, 7.608590877822533;8500136;http://lod.opentransportdata.swiss/didok/8500136
510;141.858;BS;Basel SBB;Mittelperron;14/15;15;276.11;P 55;;nicht vorhanden;konstant;Fertigelement;Perronwinkel Typ 2;Beton;;Gitterrost;567854;10;2117471;35346352;47.5476176217, 7.58521821473;47.546650524153804, 7.588595843692325;8500010;http://lod.opentransportdata.swiss/didok/8500010
510;142.175;BS;Basel SBB;Mittelperron;14/15;15;133.69;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;567854;10;3302467;35355466;47.5466505242, 7.58859584369;47.54615443437768, 7.590210574753403;8500010;http://lod.opentransportdata.swiss/didok/8500010
500;0.003;BS;Basel SBB;Mittelperron;11/12;11;202.2;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;567932;10;567919;35345529;47.5467766414, 7.5891348322;47.54596364283488, 7.591537424523489;8500010;http://lod.opentransportdata.swiss/didok/8500010
500;0.279;BS;Basel SBB;Mittelperron;5/6;5;72.03;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;567950;10;3302475;35362456;47.5460729495, 7.59271445806;47.545801022748165, 7.593582640732947;8500010;http://lod.opentransportdata.swiss/didok/8500010
500;0.095;BS;Basel SBB;Mittelperron;3/4;3;211.78;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;567966;10;3999578;35309282;47.5469605665, 7.5906365025;47.54610297180173, 7.5931482868050315;8500010;http://lod.opentransportdata.swiss/didok/8500010
500;0.104;BS;Basel SBB;Dienstperron;0;;196.47;P 30;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Gitterrost;1167222;10;1167220;35329219;47.5470874289, 7.59086664362;47.546248050733745, 7.593161511707477;8500010;http://lod.opentransportdata.swiss/didok/8500010
510;137.712;BSSJ;Basel St. Johann;Mittelperron;7/8;7;199.34;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;2491038;16;2491040;35337267;47.5710480365, 7.57165131003;47.569346081768, 7.572483575314216;8500016;http://lod.opentransportdata.swiss/didok/8500016
240;93.326;BSC;Bassecourt;Hausperron;1;1;150.03;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;11809750;122;11809691;224926696;47.3366489855, 7.24911588932;47.33663762228126, 7.247130934997431;8500122;http://lod.opentransportdata.swiss/didok/8500122
752;14.567;BSD;Bassersdorf;Hausperron;1;;238.54;P 25;;nicht vorhanden;nicht konstant;Mauerwerk;;Naturstein;;Kein;2113906;3307;2113905;35332999;47.4388949771, 8.62380113035;47.43843924708227, 8.6268912149561;8503307;http://lod.opentransportdata.swiss/didok/8503307
410;76.603;BELL;Bellach;Aussenperron;1;1;159.97;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;4737420;205;4737416;117778242;47.2089098845, 7.5088802093;47.20891346642489, 7.5067686476229945;8500205;http://lod.opentransportdata.swiss/didok/8500205
600;150.844;BEL;Bellinzona;Mittelperron;2/3;2;296.8;P 55;;nicht vorhanden;konstant;Fertigelement;Elemento speciale;Beton;;Beton;728364;5213;12736071;185765704;46.1957132148, 9.03010865012;46.19775457730459, 9.03258631725182;8505213;http://lod.opentransportdata.swiss/didok/8505213
600;150.547;BEL;Bellinzona;Mittelperron;2/3;3;300.88;P 55;;nicht vorhanden;konstant;Fertigelement;Elemento speciale;Beton;;Beton;728364;5213;12736080;185765706;46.1977306813, 9.03263276867;46.19564195491825, 9.030153989012417;8505213;http://lod.opentransportdata.swiss/didok/8505213
600;151.009;BEL;Bellinzona;Mittelperron;2/3;2;83.21;P 55;;nicht vorhanden;konstant;Fertigelement;Elemento speciale;Beton;;Beton;728364;5213;13708426;208169209;46.1945268863, 9.02870225511;46.19394195398492, 9.028029677207375;8505213;http://lod.opentransportdata.swiss/didok/8505213
600;150.523;BEL;Bellinzona;Mittelperron;2/3;2;24.33;P 20;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;728364;5213;14729085;228001877;46.1979157555, 9.0327994361;46.19775457730459, 9.03258631725182;8505213;http://lod.opentransportdata.swiss/didok/8505213
600;150.669;BEL;Bellinzona;Hausperron;1;1;195.26;P 55;;nicht vorhanden;konstant;Fertigelement;Elemento speciale;Beton;Finitura = Bordura L prefabb;Beton;843880;5213;12632049;185765703;46.1969679229, 9.0314909856;46.195621703083006, 9.029866513458998;8505213;http://lod.opentransportdata.swiss/didok/8505213
600;150.981;BEL;Bellinzona;Mittelperron;4/6;4;219.56;P 55;;nicht vorhanden;konstant;Fertigelement;Elemento speciale;Beton;;Beton;12200143;5213;12200150;170328728;46.1946300556, 9.02908536593;46.19615493103179, 9.030892983734725;8505213;http://lod.opentransportdata.swiss/didok/8505213
