Linie;KM;Abkuerzung Bahnhof;Haltestellen Name;Perrontyp;Perron Nummer;Kundengleisnummer;Perronkantenlänge;Perronkantenhöhe;Bemerkung Höhe;Hilfstritt;Höhenverlauf;Material;Bemerkung Material;Kantenart;Bemerkung Kantenkrone;Auftritt;GO_IPID;Didok-Nummer;IPID;FID;1_koord;2_koord;BPUIC;lod
710;22.657;BD;Baden;Mittelperron;2/3;2;365.1;P 55;;nicht vorhanden;konstant;Andere;;Andere;;Gitterrost;2181743;3504;2181735;35373579;47.4775916632, 8.30777075677;47.474393156068835, 8.30672829579135;8503504;http://lod.opentransportdata.swiss/didok/8503504
710;22.657;BD;Baden;Mittelperron;2/3;3;363.21;P 55;;nicht vorhanden;konstant;Andere;;Andere;;Gitterrost;2181743;3504;2181739;35351601;47.4775947944, 8.30770472479;47.474404535429954, 8.306687342817323;8503504;http://lod.opentransportdata.swiss/didok/8503504
651;15.869;BLG;Baldegg;Zwischenperron;1/2;2;119.02;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;2415314;2025;2415298;35365551;47.1851688698, 8.28046190968;47.18623700891159, 8.280362403175861;8502025;http://lod.opentransportdata.swiss/didok/8502025
651;15.869;BLG;Baldegg;Zwischenperron;1/2;1;75.79;P 20;;nicht vorhanden;nicht konstant;Fertigelement;;Beton;;Kein;2415314;2025;2415305;35318548;47.1851668878, 8.28043771954;47.185841568295615, 8.280307138462936;8502025;http://lod.opentransportdata.swiss/didok/8502025
600;203.389;BAL;Balerna;Hausperron;1;1;222.4;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1678741;5306;15933806;313015892;45.8476445566, 9.00367302888;45.846229792392606, 9.005696954409;8505306;http://lod.opentransportdata.swiss/didok/8505306
251;93.931;BRG;Bargen BE;Aussenperron;1;1;128.01;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;4442267;4403;4442270;35323445;47.0401686267, 7.2611030453;47.0403537718361, 7.262758104035292;8504403;http://lod.opentransportdata.swiss/didok/8504403
230;121.003;BSDH;Basel Dreispitz;Aussenperron;1;1;219.98;P 55;;nicht vorhanden;konstant;Fertigelement;32 Stk. spez. Perronelemente;Beton;;Gitterrost;3589030;136;3589028;35361546;47.5366672779, 7.61052109801;47.53811075632137, 7.608523311185585;8500136;http://lod.opentransportdata.swiss/didok/8500136
500;0.296;BS;Basel SBB;Mittelperron;1/2;1;29.41;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;567890;10;3999569;35349481;47.5462425065, 7.5930967656;47.54609972567861, 7.593425621051334;8500010;http://lod.opentransportdata.swiss/didok/8500010
500;0.003;BS;Basel SBB;Mittelperron;11/12;11;143.19;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;567932;10;2117465;35346392;47.5467766414, 7.5891348322;47.547352008278686, 7.587433085715224;8500010;http://lod.opentransportdata.swiss/didok/8500010
510;141.985;BS;Basel SBB;Mittelperron;9/10;10;189.58;P 55;;nicht vorhanden;konstant;Fertigelement;Perronwinkel Typ2;Beton;;Gitterrost;567933;10;2117461;35353695;47.5476541086, 7.58667048263;47.546924456066435, 7.588945054299291;8500010;http://lod.opentransportdata.swiss/didok/8500010
500;0.351;BS;Basel SBB;Mittelperron;5/6;5;86.53;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;567950;10;1671688;35336117;47.5458010227, 7.59358264073;47.54546248375978, 7.5946172183281355;8500010;http://lod.opentransportdata.swiss/didok/8500010
510;142.166;BS;Basel SBB;Mittelperron;5/6;6;60.9;P 55;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Gitterrost;567950;10;3302474;35362441;47.5472867702, 7.58891687624;47.54704158248369, 7.589640249591435;8500010;http://lod.opentransportdata.swiss/didok/8500010
510;141.99;BS;Basel SBB;Mittelperron;5/6;5;112.13;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;567950;10;19732056;317440369;47.547879883, 7.5868159683;47.547593040843935, 7.588241196470478;8500010;http://lod.opentransportdata.swiss/didok/8500010
511;1.125;BS;Basel SBB;Dienstperron;1;;307.88;<=P20;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Kein;778838;10;778836;35320836;47.5430844907, 7.6019299297;47.542098540664995, 7.605751296965161;8500010;http://lod.opentransportdata.swiss/didok/8500010
510;142.049;BS;Basel SBB;Mittelperron;30/31;31;438.12;P 30;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;1671692;10;1671693;35327315;47.5479408188, 7.58764596527;47.54746726287397, 7.5820523589886255;8500010;http://lod.opentransportdata.swiss/didok/8500010
510;141.698;BS;Basel SBB;Mittelperron;30/31;30;320.16;P 30;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;1671692;10;3302432;35323508;47.5477315621, 7.58307253221;47.5479402473364, 7.587205923325418;8500010;http://lod.opentransportdata.swiss/didok/8500010
752;14.615;BSD;Bassersdorf;Mittelperron;2/3;2;216.16;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;1374376;3307;2191826;35328783;47.4387348645, 8.62439956028;47.43832226918567, 8.627199860605776;8503307;http://lod.opentransportdata.swiss/didok/8503307
752;14.831;BSD;Bassersdorf;Mittelperron;2/3;3;86.17;P 30;;nicht vorhanden;konstant;Mauerwerk;;Naturstein;;Kein;1374376;3307;2191831;35360803;47.4382570135, 8.62717849018;47.438109345295445, 8.628297778975858;8503307;http://lod.opentransportdata.swiss/didok/8503307
742;25.232;BMA;Bauma;Mittelperron;101/103;103;101.28;<=P20;15ch;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;4749607;3134;4749611;35349942;47.3686798271, 8.87860782608;47.3685396142968, 8.879932734781903;8503134;http://lod.opentransportdata.swiss/didok/8503134
600;151.008;BEL;Bellinzona;Mittelperron;2/3;3;83.67;P 55;;nicht vorhanden;konstant;Fertigelement;Elemento speciale;Beton;;Beton;728364;5213;13708288;208169071;46.1944854571, 9.02878185398;46.19392288152852, 9.028062132921288;8505213;http://lod.opentransportdata.swiss/didok/8505213
600;150.523;BEL;Bellinzona;Mittelperron;2/3;;24.07;P 20;;nicht vorhanden;nicht konstant;Fertigelement;;Beton;;Kein;728364;5213;14555635;225455685;46.197897792, 9.0328309921;46.19773068134185, 9.032632768667725;8505213;http://lod.opentransportdata.swiss/didok/8505213
600;150.767;BEL;Bellinzona;Mittelperron;4/6;4;53.45;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;12200143;5213;12201498;170328745;46.196154931, 9.03089298373;46.19652610846189, 9.031331044779746;8505213;http://lod.opentransportdata.swiss/didok/8505213
600;150.766;BEL;Bellinzona;Mittelperron;4/6;6;53.69;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;12200143;5213;12201511;170328727;46.1961227232, 9.03094956981;46.196507417945085, 9.03136888913012;8505213;http://lod.opentransportdata.swiss/didok/8505213
600;149.869;SPAO;Bellinzona S. Paolo;Dienstperron;506/507;;97.28;<=P20;;nicht vorhanden;konstant;Fertigelement;Acciaio;Andere;Acciaio;Kein;19952553;5239;19952541;323765717;46.2027988126, 9.03732641183;46.20200523541772, 9.03679733700291;8505239;http://lod.opentransportdata.swiss/didok/8505239
600;149.87;SPAO;Bellinzona S. Paolo;Dienstperron;507/508;;307.75;<=P20;;nicht vorhanden;konstant;Fertigelement;Acciaio;Andere;Acciaio;Kein;19952573;5239;19952560;323766175;46.2028065586, 9.03726734213;46.2052899621325, 9.039029495845629;8505239;http://lod.opentransportdata.swiss/didok/8505239
653;85.295;BNZ;Benzenschwil;Hausperron;2;2;84.68;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;2395318;2216;2395312;35369241;47.2475967422, 8.36465874201;47.24698837781083, 8.365330264135023;8502216;http://lod.opentransportdata.swiss/didok/8502216
831;27.348;BERG;Berg;Hausperron;1;1;129.66;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;12093903;6194;12092945;214907464;47.5828978963, 9.17330447262;47.58213134400983, 9.174601384098123;8506194;http://lod.opentransportdata.swiss/didok/8506194
822;48.863;BER;Berlingen;Aussenperron;2;2;120.56;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;2847116;6135;2847120;35349629;47.6733361573, 9.02135893822;47.67279400998111, 9.022748437399256;8506135;http://lod.opentransportdata.swiss/didok/8506135
220;0.331;BN;Bern;Mittelperron;12/13;13;72.55;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;1531721;7000;17010367;266737918;46.9487105721, 7.43562028654;46.94890662271217, 7.436527205599203;8507000;http://lod.opentransportdata.swiss/didok/8507000
220;0.331;BN;Bern;Mittelperron;12/13;12;73.25;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;1531721;7000;17010377;266737928;46.9487002547, 7.43562317712;46.948844718722164, 7.436557499753724;8507000;http://lod.opentransportdata.swiss/didok/8507000
250;97.085;BN;Bern;Mittelperron;7/8;8;86.79;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;1531744;7000;20082601;329329743;46.9492152999, 7.43841203751;46.94972860610802, 7.439264972505586;8507000;http://lod.opentransportdata.swiss/didok/8507000
250;96.95;BN;Bern;Mittelperron;7/8;7;133.87;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;1531744;7000;20082607;329329715;46.9485895531, 7.43694160959;46.94914238585439, 7.438492494934;8507000;http://lod.opentransportdata.swiss/didok/8507000
450;105.979;BN;Bern;Mittelperron;1/2;1;369.51;P 35;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;1531775;7000;1531773;35323654;46.9504698252, 7.44018310676;46.94819173704908, 7.437149011067017;8507000;http://lod.opentransportdata.swiss/didok/8507000
250;96.779;BN;Bern;Mittelperron;1/2;1;175.19;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1531775;7000;3513211;35370370;46.9478374914, 7.43490732606;46.94819173704908, 7.437149011067017;8507000;http://lod.opentransportdata.swiss/didok/8507000
220;0.685;BN;Bern;Mittelperron;49/50;49;342.69;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;15643023;7000;11515731;242289349;46.948248805, 7.43102096398;46.948429980824066, 7.435486167814259;8507000;http://lod.opentransportdata.swiss/didok/8507000
